year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1928,15,7.6,mw,iscgem,iscgem908552,2015-05-13T18:52:42.000Z,"Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1928,405,7,mw,iscgem,iscgem908573,2015-05-13T18:52:42.000Z,"Izu Islands, Japan region",earthquake,automatic,iscgem,iscgem,,,,
1928,10,7.1,mw,iscgem,iscgem908596,2015-05-13T18:52:42.000Z,Bulgaria,earthquake,automatic,iscgem,iscgem,,,,
1928,15,7.1,mw,iscgem,iscgem908608,2015-05-13T18:52:42.000Z,Bulgaria,earthquake,automatic,iscgem,iscgem,,,,
1928,35,7.2,mw,iscgem,iscgem908698,2015-05-13T18:52:42.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1928,20,7.9,mw,iscgem,iscgem908744,2015-05-13T18:52:42.000Z,"Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1928,15,7.1,mw,iscgem,iscgem908762,2015-05-13T18:52:42.000Z,Vanuatu region,earthquake,automatic,iscgem,iscgem,,,,
1928,20,7.2,mw,iscgem,iscgem908823,2015-05-13T18:52:42.000Z,"offshore Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1928,25,7.5,mw,iscgem,iscgem908920,2015-05-13T18:52:42.000Z,"Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1928,35,7.7,mw,iscgem,iscgem908986,2015-05-13T18:52:42.000Z,"Maule, Chile",earthquake,automatic,iscgem,iscgem,,,,
1928,30,7,mw,iscgem,iscgem908989,2015-05-13T18:52:42.000Z,"offshore Maule, Chile",earthquake,automatic,iscgem,iscgem,,,,
1928,15,7,mw,iscgem,iscgem908999,2015-05-13T18:52:42.000Z,"near the south coast of Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1928,25,7.4,mw,iscgemsup,iscgemsup909023,2015-07-13T17:02:22.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1929,10,7.1,mw,iscgem,iscgem907884,2015-05-13T18:52:42.000Z,central Mid-Atlantic Ridge,earthquake,automatic,iscgem,iscgem,,,,
1929,10,7.1,mw,iscgem,iscgem907911,2015-05-13T18:52:42.000Z,northern Mid-Atlantic Ridge,earthquake,automatic,iscgem,iscgem,,,,
1929,15,7.8,mw,iscgem,iscgem907930,2018-01-09T23:07:13.615Z,south of the Aleutian Islands,earthquake,automatic,iscgem,iscgem,,,,
1929,20,7,mw,iscgem,iscgem907935,2015-05-13T18:52:42.000Z,South Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1929,10,7.2,mw,iscgem,iscgem908052,2015-05-13T18:52:42.000Z,Turkmenistan,earthquake,automatic,iscgem,iscgem,,,,
1929,15,7.3,mw,iscgem,iscgem908101,2015-05-13T18:52:42.000Z,"Haida Gwaii Region, Canada",earthquake,automatic,iscgem,iscgem,,,,
1929,35,7.2,mw,iscgem,iscgem908140,2015-05-13T18:52:42.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1929,20,7.3,mw,iscgem,iscgem908150,2015-05-13T18:52:42.000Z,South Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1929,15,8.1,mw,iscgem,iscgem908171,2015-05-13T18:52:42.000Z,South Sandwich Islands region,earthquake,automatic,iscgem,iscgem,,,,
1929,35,7,mw,iscgem,iscgem908189,2015-05-13T18:52:42.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1929,35,7.3,mw,iscgem,iscgem908198,2015-05-13T18:52:42.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1929,10,7.1,mw,iscgem,iscgem908389,2015-05-13T18:52:42.000Z,"State of Yap, Federated States of Micronesia",earthquake,automatic,iscgem,iscgem,,,,
1929,35,7,mw,iscgem,iscgem908392,2015-05-13T18:52:42.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1929,10,7.2,mw,iscgem,iscgem908394,2015-05-13T18:52:42.000Z,North Atlantic Ocean,earthquake,automatic,iscgem,iscgem,,,,
1929,20,7.8,mw,iscgem,iscgem908419,2015-05-13T18:52:42.000Z,"Near Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1930,10,7,mw,iscgem,iscgem907286,2015-05-13T18:52:42.000Z,"Kepulauan Barat Daya, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1930,35,7.5,mw,iscgem,iscgem907352,2015-05-13T18:52:43.000Z,Myanmar,earthquake,automatic,iscgem,iscgem,,,,
1930,15,7.1,mw,iscgem,iscgem907354,2015-05-13T18:52:43.000Z,Turkey-Iran border region,earthquake,automatic,iscgem,iscgem,,,,
1930,35,7,mw,iscgem,iscgem907442,2015-05-13T18:52:43.000Z,"New Britain region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1930,15,7.1,mw,iscgem,iscgem907472,2015-05-13T18:52:43.000Z,"Meghalaya, India region",earthquake,automatic,iscgem,iscgem,,,,
1930,25,7.2,mw,iscgem,iscgem907664,2015-05-13T18:52:43.000Z,"Pagan region, Northern Mariana Islands",earthquake,automatic,iscgem,iscgem,,,,
1930,25,7,mw,iscgem,iscgem907729,2015-05-13T18:52:43.000Z,"near the north coast of Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1930,30,7.7,mw,iscgemsup,iscgemsup907731,2015-07-13T17:02:22.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1930,10,7.4,mw,iscgem,iscgem907777,2015-05-13T18:52:43.000Z,Myanmar,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7.6,mw,iscgem,iscgem906564,2015-05-13T18:52:43.000Z,"Oaxaca, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1931,15,7.6,mw,iscgem,iscgem906595,2015-05-13T18:52:43.000Z,Myanmar,earthquake,automatic,iscgem,iscgem,,,,
1931,15,7.2,mw,iscgem,iscgem906597,2015-05-13T18:52:43.000Z,south of the Mariana Islands,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7.4,mw,iscgem,iscgem906607,2015-05-13T18:52:43.000Z,North Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7,mw,iscgem,iscgem906621,2015-05-13T18:52:43.000Z,"southern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1931,45,7.3,mw,iscgem,iscgem906628,2015-05-13T18:52:43.000Z,North Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7.8,mw,iscgem,iscgem906664,2015-05-13T18:52:43.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1931,35,7.2,mw,iscgem,iscgem906680,2015-05-13T18:52:43.000Z,"Valparaiso, Chile",earthquake,automatic,iscgem,iscgem,,,,
1931,10,7.1,mw,iscgem,iscgem906785,2015-05-13T18:52:43.000Z,Azores-Cape St. Vincent Ridge,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7,mw,iscgem,iscgem906921,2015-05-13T18:52:43.000Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1931,10,7.9,mw,iscgem,iscgem906933,2015-05-13T18:52:43.000Z,"northern Xinjiang, China",earthquake,automatic,iscgem,iscgem,,,,
1931,10,7.1,mw,iscgem,iscgem906951,2015-05-13T18:52:43.000Z,"northern Xinjiang, China",earthquake,automatic,iscgem,iscgem,,,,
1931,10,7.2,mw,iscgemsup,iscgemsup906971,2015-07-13T17:02:22.000Z,Pakistan,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7.4,mw,iscgem,iscgem907033,2015-05-13T18:52:43.000Z,"southern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1931,15,7.9,mw,iscgem,iscgem907054,2015-05-13T18:52:43.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1931,15,7,mw,iscgem,iscgem907055,2015-05-13T18:52:43.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1931,15,7,mw,iscgem,iscgem907057,2015-05-13T18:52:43.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1931,15,7.7,mw,iscgem,iscgem907065,2015-05-13T18:52:43.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1931,35,7.5,mw,iscgem,iscgem907108,2015-05-13T18:52:43.000Z,"southeast of Shikoku, Japan",earthquake,automatic,iscgem,iscgem,,,,
1932,15,7.2,mw,iscgem,iscgem905994,2015-05-13T18:52:43.000Z,"Bougainville region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1932,15,7.7,mw,iscgem,iscgem906146,2015-05-13T18:52:43.000Z,Molucca Sea,earthquake,automatic,iscgem,iscgem,,,,
1932,15,7.1,mw,iscgem,iscgem906153,2015-05-13T18:52:43.000Z,El Salvador,earthquake,automatic,iscgem,iscgem,,,,
1932,570,7.6,mw,iscgem,iscgem906166,2015-05-13T18:52:43.000Z,south of the Fiji Islands,earthquake,automatic,iscgem,iscgem,,,,
1932,15,8.1,mw,iscgem,iscgem906183,2015-05-13T18:52:43.000Z,"Jalisco, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1932,15,7.8,mw,iscgem,iscgem906234,2015-05-13T18:52:43.000Z,"Colima, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1932,25,7.7,mw,iscgem,iscgem906247,2015-05-13T18:52:43.000Z,"Jalisco, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1932,15,7.2,mw,iscgem,iscgem906486,2015-05-13T18:52:43.000Z,Celebes Sea,earthquake,automatic,iscgem,iscgem,,,,
1932,15,7.9,mw,iscgem,iscgem906530,2015-05-13T18:52:43.000Z,"Gansu, China",earthquake,automatic,iscgem,iscgem,,,,
1933,10,7.1,mw,iscgem,iscgem905360,2015-05-13T18:52:43.000Z,Southwest Indian Ridge,earthquake,automatic,iscgem,iscgem,,,,
1933,35,7.2,mw,iscgem,iscgem905405,2015-05-13T18:52:43.000Z,"Tarapaca, Chile",earthquake,automatic,iscgem,iscgem,,,,
1933,15,8.4,mw,official,official19330302173100_30,2018-01-18T19:24:45.845Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,official,,,,
1933,30,7.2,mw,iscgem,iscgem905646,2015-05-13T18:52:43.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1933,20,7.6,mw,iscgem,iscgem905657,2015-05-13T18:52:43.000Z,"southern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1933,15,7.3,mw,iscgem,iscgem905779,2015-05-13T18:52:43.000Z,"western Sichuan, China",earthquake,automatic,iscgem,iscgem,,,,
1933,35,7.5,mw,iscgem,iscgem905786,2015-05-13T18:52:43.000Z,South Sandwich Islands region,earthquake,automatic,iscgem,iscgem,,,,
1933,15,7.7,mw,iscgem,iscgem905919,2015-05-13T18:52:43.000Z,Baffin Bay,earthquake,automatic,iscgem,iscgem,,,,
1934,15,8,mw,iscgem,iscgem904745,2018-01-18T19:28:35.021Z,Nepal-India border region,earthquake,automatic,iscgem,iscgem,,,,
1934,15,7.5,mw,iscgem,iscgem904793,2015-05-13T18:52:43.000Z,Philippine Islands region,earthquake,automatic,iscgem,iscgem,,,,
1934,35,7.5,mw,iscgem,iscgem904813,2015-05-13T18:52:43.000Z,"Volcano Islands, Japan region",earthquake,automatic,iscgem,iscgem,,,,
1934,15,7.1,mw,iscgem,iscgem904819,2015-05-13T18:52:43.000Z,"New Britain region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1934,35,7.2,mw,iscgem,iscgem904826,2015-05-13T18:52:43.000Z,North Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1934,15,7,mw,iscgem,iscgem904858,2015-05-13T18:52:43.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1934,35,7.1,mw,iscgem,iscgem904890,2015-05-13T18:52:43.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1934,30,7.5,mw,iscgem,iscgem905037,2015-05-13T18:52:43.000Z,south of Panama,earthquake,automatic,iscgem,iscgem,,,,
1934,10,7.7,mw,iscgem,iscgem905046,2015-05-13T18:52:43.000Z,Santa Cruz Islands,earthquake,automatic,iscgem,iscgem,,,,
1934,15,7.3,mw,iscgem,iscgem905065,2015-05-13T18:52:43.000Z,Santa Cruz Islands,earthquake,automatic,iscgem,iscgem,,,,
1934,15,7.1,mw,iscgem,iscgem905294,2015-05-13T18:52:43.000Z,"offshore Jalisco, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1934,15,7.2,mw,iscgem,iscgem905307,2015-05-13T18:52:43.000Z,western Xizang,earthquake,automatic,iscgem,iscgem,,,,
1935,15,7,mw,iscgem,iscgem904224,2015-05-13T18:52:43.000Z,Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1935,25,7.5,mw,iscgem,iscgem904311,2015-05-13T18:52:43.000Z,Pakistan,earthquake,automatic,iscgem,iscgem,,,,
1935,25,7.2,mw,iscgem,iscgem904448,2015-05-13T18:52:43.000Z,"northern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1935,20,7.2,mw,iscgem,iscgem904464,2015-05-13T18:52:43.000Z,southeast of the Loyalty Islands,earthquake,automatic,iscgem,iscgem,,,,
1935,15,7,mw,iscgem,iscgem904497,2015-05-13T18:52:43.000Z,Taiwan region,earthquake,automatic,iscgem,iscgem,,,,
1935,35,7.2,mw,iscgem,iscgem904513,2015-05-13T18:52:43.000Z,Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1935,30,7.8,mw,iscgem,iscgem904528,2015-05-13T18:52:43.000Z,"New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1935,35,7,mw,iscgem,iscgem904529,2015-05-13T18:52:43.000Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1935,15,7,mw,iscgem,iscgem904577,2015-05-13T18:52:43.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1935,15,7.1,mw,iscgem,iscgem904591,2015-05-13T18:52:43.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1935,35,7.3,mw,iscgemsup,iscgemsup904696,2015-07-13T17:02:22.000Z,"Chiapas, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1935,35,7.6,mw,iscgem,iscgem904697,2015-05-13T18:52:43.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1935,15,7,mw,iscgem,iscgem904700,2015-05-13T18:52:43.000Z,southeast of Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1935,30,7.6,mw,iscgem,iscgem904721,2015-05-13T18:52:43.000Z,"Kepulauan Batu, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1936,15,7.1,mw,iscgem,iscgem903478,2015-05-13T18:52:44.000Z,"near the south coast of Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1936,35,7.8,mw,iscgem,iscgem903538,2015-05-13T18:52:44.000Z,"Kepulauan Talaud, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1936,20,7.4,mw,iscgem,iscgem903573,2015-05-13T18:52:44.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1936,15,7.5,mw,iscgem,iscgem903716,2015-05-13T18:52:44.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1936,35,7.5,mw,iscgem,iscgem903742,2015-05-13T18:52:44.000Z,"Antofagasta, Chile",earthquake,automatic,iscgem,iscgem,,,,
1936,15,7.1,mw,iscgemsup,iscgemsup903796,2015-07-13T17:02:22.000Z,Taiwan region,earthquake,automatic,iscgem,iscgem,,,,
1936,50,7,mw,iscgem,iscgem903800,2015-05-13T18:52:44.000Z,"northern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1936,20,7.2,mw,iscgem,iscgem903844,2015-05-13T18:52:44.000Z,"northern Sumatra, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1936,15,7,mw,iscgem,iscgem903866,2015-05-13T18:52:44.000Z,Molucca Sea,earthquake,automatic,iscgem,iscgem,,,,
1936,35,7.2,mw,iscgem,iscgem903917,2015-05-13T18:52:44.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1936,20,7.2,mw,iscgem,iscgem903937,2015-05-13T18:52:44.000Z,"off the east coast of the Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1937,15,7.8,mw,iscgem,iscgem902908,2015-05-13T18:52:44.000Z,"southern Qinghai, China",earthquake,automatic,iscgem,iscgem,,,,
1937,15,7.2,mw,iscgem,iscgem902922,2015-05-13T18:52:44.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1937,30,7.4,mw,iscgem,iscgem902955,2015-05-13T18:52:44.000Z,Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1937,330,7.3,mw,iscgem,iscgem903042,2015-05-13T18:52:44.000Z,Fiji region,earthquake,automatic,iscgem,iscgem,,,,
1937,30,7.1,mw,iscgem,iscgem903121,2015-05-13T18:52:44.000Z,near the coast of northern Peru,earthquake,automatic,iscgem,iscgem,,,,
1937,10,7,mw,iscgem,iscgem903173,2018-01-09T22:44:26.910Z,Central Alaska,earthquake,automatic,iscgem,iscgem,,,,
1937,610,7.1,mw,iscgem,iscgem903200,2015-05-13T18:52:44.000Z,Bali Sea,earthquake,automatic,iscgem,iscgem,,,,
1937,15,7.5,mw,iscgem,iscgem903210,2015-05-13T18:52:44.000Z,"Luzon, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1937,25,7.4,mw,iscgem,iscgem903401,2015-05-13T18:52:44.000Z,"Guerrero, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1938,10,7,mw,iscgem,iscgem902341,2015-05-13T18:52:44.000Z,Scotia Sea,earthquake,automatic,iscgem,iscgem,,,,
1938,25,8.5,mw,official,official19380201190422_30,2018-02-14T23:41:34.459Z,Banda Sea,earthquake,automatic,iscgem,official,,,,
1938,35,7.7,mw,iscgem,iscgem902481,2015-05-13T18:52:44.000Z,"eastern New Guinea region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1938,35,7.7,mw,iscgem,iscgem902493,2015-05-13T18:52:44.000Z,"Makassar Strait, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1938,15,7.7,mw,iscgem,iscgem902498,2015-05-13T18:52:44.000Z,"near the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,15,7.1,mw,iscgem,iscgem902499,2015-05-13T18:52:44.000Z,"Luzon, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1938,35,7.1,mw,iscgem,iscgem902508,2015-05-13T18:52:44.000Z,"Loyalty Islands, New Caledonia",earthquake,automatic,iscgem,iscgem,,,,
1938,20,7.7,mw,iscgem,iscgem902525,2015-05-13T18:52:44.000Z,"southwestern Ryukyu Islands, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,20,7.5,mw,iscgem,iscgem902539,2015-05-13T18:52:44.000Z,"Ryukyu Islands, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,75,7,mw,iscgem,iscgem902629,2015-05-13T18:52:44.000Z,Myanmar-India border region,earthquake,automatic,iscgem,iscgem,,,,
1938,15,7,mw,iscgem,iscgem902648,2015-05-13T18:52:44.000Z,"Samar, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1938,15,7.2,mw,iscgem,iscgem902664,2015-05-13T18:52:44.000Z,Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1938,15,7.3,mw,iscgem,iscgem902710,2015-05-13T18:52:44.000Z,Molucca Sea,earthquake,automatic,iscgem,iscgem,,,,
1938,10,7.1,mw,iscgem,iscgem902718,2015-05-13T18:52:44.000Z,Russia-Mongolia border region,earthquake,automatic,iscgem,iscgem,,,,
1938,90,7.3,mw,iscgem,iscgem902719,2015-05-13T18:52:44.000Z,Savu Sea,earthquake,automatic,iscgem,iscgem,,,,
1938,35,7.8,mw,iscgem,iscgem902740,2015-05-13T18:52:44.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,35,7.7,mw,iscgem,iscgem902741,2015-05-13T18:52:44.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,30,7.7,mw,iscgem,iscgem902745,2015-05-13T18:52:44.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,25,7.6,mw,iscgem,iscgem902752,2015-05-13T18:52:44.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1938,35,8.3,mw,iscgem,iscgem902774,2018-01-11T20:41:38.608Z,Alaska Peninsula,earthquake,automatic,iscgem,iscgem,,,,
1938,15,7,mw,iscgem,iscgem902871,2015-05-13T18:52:44.000Z,South Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1939,35,7.8,mw,iscgem,iscgem901785,2015-05-13T18:52:44.000Z,"Bio-Bio, Chile",earthquake,automatic,iscgem,iscgem,,,,
1939,35,7.8,mw,iscgem,iscgem901797,2015-05-13T18:52:44.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1939,15,7,mw,iscgem,iscgem901807,2015-05-13T18:52:44.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1939,15,7.5,mw,iscgem,iscgem901866,2015-05-13T18:52:44.000Z,South Indian Ocean,earthquake,automatic,iscgem,iscgem,,,,
1939,30,7,mw,iscgem,iscgem901890,2015-05-13T18:52:44.000Z,Vanuatu,earthquake,automatic,iscgem,iscgem,,,,
1939,35,7.4,mw,iscgem,iscgem901902,2015-05-13T18:52:44.000Z,"Atacama, Chile",earthquake,automatic,iscgem,iscgem,,,,
1939,530,7,mw,iscgem,iscgem901907,2015-05-13T18:52:44.000Z,"Primor'ye, Russia",earthquake,automatic,iscgem,iscgem,,,,
1939,15,7.8,mw,iscgem,iscgem901916,2015-05-13T18:52:44.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1939,10,7,mw,iscgem,iscgem901919,2015-05-13T18:52:44.000Z,"near the west coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1939,10,7,mw,iscgemsup,iscgemsup901929,2015-07-13T17:02:22.000Z,"Baja California, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1939,15,7.1,mw,iscgem,iscgem902140,2015-05-13T18:52:44.000Z,"Near Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1939,20,7,mw,iscgem,iscgem902187,2015-05-13T18:52:44.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1939,35,8.1,mw,iscgem,iscgem902275,2015-05-13T18:52:44.000Z,"Sulawesi, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1939,20,7.8,mw,iscgem,iscgem902291,2018-01-18T19:43:45.139Z,eastern Turkey,earthquake,automatic,iscgem,iscgem,,,,
1940,15,7.5,mw,iscgem,iscgem901160,2015-05-13T18:52:44.000Z,Mariana Islands region,earthquake,automatic,iscgem,iscgem,,,,
1940,45,8.2,mw,iscgem,iscgem901374,2015-05-13T18:52:44.000Z,near the coast of central Peru,earthquake,automatic,iscgem,iscgem,,,,
1940,15,7.5,mw,iscgem,iscgem901515,2015-05-13T18:52:44.000Z,eastern Sea of Japan,earthquake,automatic,iscgem,iscgem,,,,
1940,10,7,mw,iscgemsup,iscgemsup901531,2015-07-13T17:02:22.000Z,Sea of Japan,earthquake,automatic,iscgem,iscgem,,,,
1940,35,7,mw,iscgem,iscgem901645,2015-05-13T18:52:44.000Z,"Isla Chiloe, Los Lagos, Chile",earthquake,automatic,iscgem,iscgem,,,,
1940,90,7.8,mw,iscgem,iscgem901696,2015-05-13T18:52:44.000Z,Romania,earthquake,automatic,iscgem,iscgem,,,,
1940,15,7.7,mw,iscgem,iscgem901750,2015-05-13T18:52:44.000Z,Mariana Islands region,earthquake,automatic,iscgem,iscgem,,,,
1941,15,7.4,mw,iscgem,iscgem900622,2015-05-13T18:52:44.000Z,"New Britain region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1941,30,7.6,mw,iscgem,iscgem900764,2015-05-13T18:52:44.000Z,"Michoacan, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1941,35,7.4,mw,iscgem,iscgem900815,2015-05-13T18:52:44.000Z,Santa Cruz Islands,earthquake,automatic,iscgem,iscgem,,,,
1941,20,7.6,mw,iscgem,iscgem900863,2015-05-13T18:52:44.000Z,"Andaman Islands, India region",earthquake,automatic,iscgem,iscgem,,,,
1941,35,7.2,mw,iscgem,iscgem900934,2015-05-13T18:52:44.000Z,"Kermadec Islands, New Zealand",earthquake,automatic,iscgem,iscgem,,,,
1941,15,7,mw,iscgem,iscgem901063,2015-05-13T18:52:44.000Z,"Masbate region, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1941,35,7.4,mw,iscgem,iscgem901068,2015-05-13T18:52:44.000Z,"Minahasa, Sulawesi, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1941,35,7.9,mw,iscgem,iscgem901083,2015-05-13T18:52:44.000Z,"Kyushu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1941,10,8,mw,iscgemsup,iscgemsup901098,2015-07-13T17:02:22.000Z,Azores-Cape St. Vincent Ridge,earthquake,automatic,iscgem,iscgem,,,,
1941,20,7.3,mw,iscgem,iscgem901107,2015-05-13T18:52:44.000Z,Costa Rica,earthquake,automatic,iscgem,iscgem,,,,
1941,15,7,mw,iscgem,iscgem901109,2015-05-13T18:52:44.000Z,off the coast of Costa Rica,earthquake,automatic,iscgem,iscgem,,,,
1941,15,7.3,mw,iscgem,iscgem901124,2015-05-13T18:52:44.000Z,Taiwan,earthquake,automatic,iscgem,iscgem,,,,
1941,10,7.2,mw,iscgem,iscgem901133,2015-05-13T18:52:44.000Z,Myanmar-China border region,earthquake,automatic,iscgem,iscgem,,,,
1942,17.5,7.2,mw,iscgem,iscgem900176,2015-05-13T18:52:44.000Z,"near the south coast of Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1942,15,7.4,mw,iscgem,iscgem900244,2015-05-13T18:52:44.000Z,"Mindoro, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1942,20,7.8,mw,iscgem,iscgem900274,2015-05-13T18:52:44.000Z,Ecuador,earthquake,automatic,iscgem,iscgem,,,,
1942,15,7,mw,iscgem,iscgem900329,2015-05-13T18:52:44.000Z,Mariana Islands region,earthquake,automatic,iscgem,iscgem,,,,
1942,15,7,mw,iscgem,iscgem900349,2015-05-13T18:52:44.000Z,North Island of New Zealand,earthquake,automatic,iscgem,iscgem,,,,
1942,35,7.7,mw,iscgem,iscgem900408,2018-01-18T19:46:52.206Z,offshore Guatemala,earthquake,automatic,iscgem,iscgem,,,,
1942,30,8.1,mw,iscgem,iscgem900444,2018-02-14T21:48:04.241Z,central Peru,earthquake,automatic,iscgem,iscgem,,,,
1942,35,7.2,mw,iscgem,iscgem900504,2015-05-13T18:52:44.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1942,10,8,mw,iscgem,iscgem900536,2015-05-13T18:52:44.000Z,south of Africa,earthquake,automatic,iscgem,iscgem,,,,
1942,10,7.2,mw,iscgem,iscgem900570,2015-05-13T18:52:44.000Z,central Mid-Atlantic Ridge,earthquake,automatic,iscgem,iscgem,,,,
