year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1911,20,7.7,mw,iscgem,iscgem16958130,2015-05-13T18:52:41.000Z,eastern Kazakhstan,earthquake,automatic,iscgem,iscgem,,,,
1911,15,7.3,mw,iscgem,iscgem16958134,2015-05-13T18:52:41.000Z,Tajikistan,earthquake,automatic,iscgem,iscgem,,,,
1911,30,7.6,mw,iscgem,iscgem16958148,2015-05-13T18:52:41.000Z,"Michoacan, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1911,100,7.9,mw,iscgem,iscgem16958149,2015-05-13T18:52:41.000Z,"northwest of the Ryukyu Islands, Japan",earthquake,automatic,iscgem,iscgem,,,,
1911,15,7.7,mw,iscgem,iscgem16958154,2015-05-13T18:52:41.000Z,Philippine Islands region,earthquake,automatic,iscgem,iscgem,,,,
1911,15,7.8,mw,iscgem,iscgem16958156,2015-05-13T18:52:41.000Z,Palau region,earthquake,automatic,iscgem,iscgem,,,,
1911,30,7.3,mw,iscgem,iscgem16958175,2015-05-13T18:52:41.000Z,"Guerrero, Mexico",earthquake,automatic,iscgem,iscgem,,,,
1912,15,7.5,mw,iscgemsup,iscgemsup16958191,2015-07-13T17:02:22.000Z,Myanmar,earthquake,automatic,iscgem,iscgem,,,,
1912,15,7.1,mw,iscgem,iscgem16958205,2015-05-13T18:52:41.000Z,western Turkey,earthquake,automatic,iscgem,iscgem,,,,
1912,15,7.5,mw,iscgem,iscgem16958211,2015-05-13T18:52:41.000Z,Palau region,earthquake,automatic,iscgem,iscgem,,,,
1913,15,7.8,mw,iscgem,iscgem914043,2015-05-13T18:52:41.000Z,"Mindanao, Philippines",earthquake,automatic,iscgem,iscgem,,,,
1913,15,7.2,mw,iscgem,iscgem914073,2015-05-13T18:52:41.000Z,"New Britain region, Papua New Guinea",earthquake,automatic,iscgem,iscgem,,,,
1913,25,7.7,mw,iscgem,iscgem914078,2015-05-13T18:52:41.000Z,Tonga,earthquake,automatic,iscgem,iscgem,,,,
1913,25,7.7,mw,iscgem,iscgem914088,2015-05-13T18:52:41.000Z,near the coast of southern Peru,earthquake,automatic,iscgem,iscgem,,,,
1914,15,7.6,mw,iscgemsup,iscgemsup913964,2015-07-13T17:02:22.000Z,"off the coast of Bio-Bio, Chile",earthquake,automatic,iscgem,iscgem,,,,
